scenario,method,method_label,training_scope,manifest_exists,expected_runs,completed_full_result_runs,validated_full_result_runs,metrics_json_count,predictions_npz_count,status,notes
femnist_z,sgda,DeepGMM-SGDA,centralized,False,0,0,0,0,0,not_launched_no_validated_artifacts_found,no high-dimensional centralized manifest or validated result artifacts found in this repo snapshot.
femnist_z,oadam,DeepGMM-OAdam,centralized,False,0,0,0,0,0,not_launched_no_validated_artifacts_found,no high-dimensional centralized manifest or validated result artifacts found in this repo snapshot.
femnist_xz,gda,DeepGMM-GDA,centralized,False,0,0,0,0,0,not_launched_no_validated_artifacts_found,no high-dimensional centralized manifest or validated result artifacts found in this repo snapshot.
femnist_xz,sgda,DeepGMM-SGDA,centralized,False,0,0,0,0,0,not_launched_no_validated_artifacts_found,no high-dimensional centralized manifest or validated result artifacts found in this repo snapshot.
femnist_xz,oadam,DeepGMM-OAdam,centralized,False,0,0,0,0,0,not_launched_no_validated_artifacts_found,no high-dimensional centralized manifest or validated result artifacts found in this repo snapshot.
cifar10_x,gda,DeepGMM-GDA,centralized,False,0,0,0,0,0,not_launched_no_validated_artifacts_found,no high-dimensional centralized manifest or validated result artifacts found in this repo snapshot.
cifar10_x,sgda,DeepGMM-SGDA,centralized,False,0,0,0,0,0,not_launched_no_validated_artifacts_found,no high-dimensional centralized manifest or validated result artifacts found in this repo snapshot.
cifar10_x,oadam,DeepGMM-OAdam,centralized,False,0,0,0,0,0,not_launched_no_validated_artifacts_found,no high-dimensional centralized manifest or validated result artifacts found in this repo snapshot.
cifar10_z,gda,DeepGMM-GDA,centralized,False,0,0,0,0,0,not_launched_no_validated_artifacts_found,no high-dimensional centralized manifest or validated result artifacts found in this repo snapshot.
cifar10_z,sgda,DeepGMM-SGDA,centralized,False,0,0,0,0,0,not_launched_no_validated_artifacts_found,no high-dimensional centralized manifest or validated result artifacts found in this repo snapshot.
cifar10_z,oadam,DeepGMM-OAdam,centralized,False,0,0,0,0,0,not_launched_no_validated_artifacts_found,no high-dimensional centralized manifest or validated result artifacts found in this repo snapshot.
cifar10_xz,gda,DeepGMM-GDA,centralized,False,0,0,0,0,0,not_launched_no_validated_artifacts_found,no high-dimensional centralized manifest or validated result artifacts found in this repo snapshot.
cifar10_xz,sgda,DeepGMM-SGDA,centralized,False,0,0,0,0,0,not_launched_no_validated_artifacts_found,no high-dimensional centralized manifest or validated result artifacts found in this repo snapshot.
cifar10_xz,oadam,DeepGMM-OAdam,centralized,False,0,0,0,0,0,not_launched_no_validated_artifacts_found,no high-dimensional centralized manifest or validated result artifacts found in this repo snapshot.
